ticker,time,open,high,low,close,volume
BID,2024-02-01 02:15:00,39.254,39.29532,39.254,39.254,15300
BID,2024-02-01 02:16:00,39.254,39.29532,39.254,39.254,1000
BID,2024-02-01 02:17:00,39.254,39.33664,39.254,39.33664,2200
BID,2024-02-01 02:18:00,39.33664,39.33664,39.254,39.254,2600
BID,2024-02-01 02:19:00,39.254,39.29532,39.254,39.29532,14200
BID,2024-02-01 02:20:00,39.29532,39.33664,39.29532,39.33664,12600
BID,2024-02-01 02:21:00,39.33664,39.37796,39.33664,39.37796,5900
BID,2024-02-01 02:22:00,39.37796,39.62588,39.37796,39.62588,9000
BID,2024-02-01 02:23:00,39.62588,39.62588,39.58456,39.58456,5700
BID,2024-02-01 02:24:00,39.58456,39.58456,39.58456,39.58456,600
BID,2024-02-01 02:25:00,39.58456,39.58456,39.58456,39.58456,100
BID,2024-02-01 02:26:00,39.58456,39.58456,39.50192,39.50192,3000
BID,2024-02-01 02:28:00,39.50192,39.50192,39.50192,39.50192,500
BID,2024-02-01 02:30:00,39.50192,39.50192,39.4606,39.4606,100
BID,2024-02-01 02:33:00,39.4606,39.4606,39.41928,39.41928,100
BID,2024-02-01 02:34:00,39.41928,39.4606,39.41928,39.4606,500
BID,2024-02-01 02:36:00,39.4606,39.4606,39.41928,39.41928,700
BID,2024-02-01 02:37:00,39.41928,39.4606,39.41928,39.41928,6400
BID,2024-02-01 02:38:00,39.41928,39.41928,39.41928,39.41928,100
BID,2024-02-01 02:39:00,39.41928,39.41928,39.37796,39.37796,300
BID,2024-02-01 02:43:00,39.37796,39.37796,39.33664,39.33664,1400
BID,2024-02-01 02:44:00,39.33664,39.33664,39.254,39.254,7400
BID,2024-02-01 02:45:00,39.254,39.254,39.254,39.254,2800
BID,2024-02-01 02:46:00,39.254,39.254,39.21268,39.21268,400
BID,2024-02-01 02:47:00,39.21268,39.21268,39.13004,39.13004,2000
BID,2024-02-01 02:48:00,39.13004,39.21268,39.13004,39.17136,12500
BID,2024-02-01 02:49:00,39.17136,39.17136,39.13004,39.17136,9000
BID,2024-02-01 02:50:00,39.17136,39.21268,39.17136,39.17136,2300
BID,2024-02-01 02:51:00,39.17136,39.17136,39.17136,39.17136,3400
BID,2024-02-01 02:52:00,39.17136,39.17136,39.13004,39.13004,6600
