ticker,time,open,high,low,close,volume
APH,2024-03-01 02:15:00,8.55,8.55,8.55,8.55,4900
APH,2024-03-01 02:17:00,8.55,8.55,8.55,8.55,2000
APH,2024-03-01 02:18:00,8.55,8.55,8.55,8.55,10000
APH,2024-03-01 02:19:00,8.55,8.55,8.54,8.54,1600
APH,2024-03-01 02:21:00,8.54,8.54,8.54,8.54,200
APH,2024-03-01 02:22:00,8.54,8.55,8.54,8.55,400
APH,2024-03-01 02:25:00,8.55,8.55,8.55,8.55,1400
APH,2024-03-01 02:27:00,8.55,8.55,8.54,8.54,400
APH,2024-03-01 02:28:00,8.54,8.54,8.54,8.54,300
APH,2024-03-01 02:31:00,8.54,8.54,8.5,8.5,2400
APH,2024-03-01 02:33:00,8.5,8.5,8.5,8.5,600
APH,2024-03-01 02:35:00,8.5,8.5,8.49,8.49,900
APH,2024-03-01 02:36:00,8.49,8.49,8.49,8.49,200
APH,2024-03-01 02:37:00,8.49,8.5,8.49,8.5,1400
APH,2024-03-01 02:38:00,8.5,8.5,8.5,8.5,400
APH,2024-03-01 02:39:00,8.5,8.5,8.49,8.49,500
APH,2024-03-01 02:40:00,8.49,8.49,8.49,8.49,500
APH,2024-03-01 02:41:00,8.49,8.49,8.49,8.49,1600
APH,2024-03-01 02:42:00,8.49,8.49,8.49,8.49,3300
APH,2024-03-01 02:43:00,8.49,8.49,8.48,8.48,5900
APH,2024-03-01 02:44:00,8.48,8.49,8.48,8.49,1100
APH,2024-03-01 02:45:00,8.49,8.49,8.48,8.49,1900
APH,2024-03-01 02:46:00,8.49,8.49,8.49,8.49,300
APH,2024-03-01 02:47:00,8.49,8.49,8.49,8.49,300
APH,2024-03-01 02:48:00,8.49,8.49,8.46,8.46,800
APH,2024-03-01 02:49:00,8.46,8.47,8.46,8.47,5100
APH,2024-03-01 02:50:00,8.47,8.47,8.47,8.47,500
APH,2024-03-01 02:53:00,8.47,8.5,8.47,8.5,5500
APH,2024-03-01 02:54:00,8.5,8.5,8.5,8.5,1700
APH,2024-03-01 02:58:00,8.5,8.5,8.5,8.5,100
APH,2024-03-01 02:59:00,8.5,8.5,8.5,8.5,2400
APH,2024-03-01 03:00:00,8.5,8.5,8.5,8.5,200
APH,2024-03-01 03:01:00,8.5,8.5,8.5,8.5,400
APH,2024-03-01 03:02:00,8.5,8.53,8.5,8.53,300
APH,2024-03-01 03:03:00,8.53,8.53,8.51,8.51,100
APH,2024-03-01 03:04:00,8.51,8.51,8.51,8.51,4700
APH,2024-03-01 03:05:00,8.51,8.51,8.5,8.5,600
APH,2024-03-01 03:06:00,8.5,8.51,8.5,8.51,1000
APH,2024-03-01 03:10:00,8.51,8.51,8.5,8.5,1300
APH,2024-03-01 03:11:00,8.5,8.5,8.5,8.5,1100
APH,2024-03-01 03:12:00,8.5,8.5,8.48,8.48,600
